type,time
qs1,0.0038909912109375
qs2,0.005031108856201172
qs3,0.005263090133666992
qs4,0.005264997482299805
qs5,0.005503654479980469
merge1,0.005515575408935547
partition_sort,0.0032820701599121094
qs1,0.004123210906982422
qs2,0.005448341369628906
qs3,0.005470752716064453
qs4,0.0051326751708984375
qs5,0.0052318572998046875
merge1,0.005516767501831055
partition_sort,0.0032753944396972656
qs1,0.00426173210144043
qs2,0.005480766296386719
qs3,0.005547523498535156
qs4,0.005759000778198242
qs5,0.005348682403564453
merge1,0.005560874938964844
partition_sort,0.0033338069915771484
qs1,0.00411224365234375
qs2,0.005465507507324219
qs3,0.005475282669067383
qs4,0.0055043697357177734
qs5,0.005131721496582031
merge1,0.005566596984863281
partition_sort,0.003331899642944336
qs1,0.004034996032714844
qs2,0.005327939987182617
qs3,0.005314826965332031
qs4,0.0054168701171875
qs5,0.005068778991699219
merge1,0.005521535873413086
partition_sort,0.0033495426177978516
qs1,0.004061222076416016
qs2,0.005396127700805664
qs3,0.0053560733795166016
qs4,0.005378007888793945
qs5,0.005137920379638672
merge1,0.005556583404541016
partition_sort,0.0032846927642822266
qs1,0.004026651382446289
qs2,0.005396842956542969
qs3,0.005280017852783203
qs4,0.005080699920654297
qs5,0.0051021575927734375
merge1,0.005442142486572266
partition_sort,0.003254413604736328
